City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed
0,batsfjord,no,04/29/18,70.63,29.72,100,31.21,68,5.06
1,cape town,za,04/29/18,-33.93,18.42,87,55.4,0,2.24
2,arona,es,04/29/18,28.1,-16.68,59,62.6,75,13.87
3,ushuaia,ar,04/29/18,-54.81,-68.31,70,42.8,75,12.55
4,khatanga,ru,04/29/18,71.98,102.47,98,19.42,76,5.95
5,lianzhou,cn,04/29/18,24.79,112.38,90,73.06,88,2.71
6,manicore,br,04/29/18,-5.81,-61.3,96,73.24,80,2.15
7,san jose del palmar,co,04/29/18,4.97,-76.23,99,61.54,76,1.7
8,rikitea,pf,04/29/18,-23.12,-134.97,100,78.01,0,10.98
9,cabo san lucas,mx,04/29/18,22.89,-109.91,100,70.99,80,15.79
10,coquimbo,cl,04/29/18,-29.95,-71.34,100,54.16,64,4.61
11,provideniya,ru,04/29/18,64.42,-173.23,100,26.8,64,8.52
12,de aar,za,04/29/18,-30.65,24.01,57,51.8,0,9.17
13,albany,au,04/29/18,-35.02,117.88,41,77.65,8,8.63
14,port alfred,za,04/29/18,-33.59,26.89,84,68.02,44,11.99
15,bluff,nz,04/29/18,-46.6,168.33,100,50.29,92,18.37
16,isangel,vu,04/29/18,-19.55,169.27,100,78.82,24,9.53
17,matamoros,mx,04/29/18,25.53,-103.23,63,66.94,32,10.76
18,naze,jp,04/29/18,28.37,129.48,57,75.2,75,6.93
19,areia,br,04/29/18,-6.97,-35.7,93,71.71,92,7.4
20,hermanus,za,04/29/18,-34.42,19.24,55,63.07,0,3.6
21,reading,gb,04/29/18,51.46,-0.97,87,44.6,75,9.17
22,punta arenas,cl,04/29/18,-53.16,-70.91,80,41.0,75,23.04
23,douglas,us,04/29/18,31.51,-82.85,93,57.2,1,3.36
24,dwarka,in,04/29/18,28.58,77.04,27,103.84,48,4.94
25,puerto ayacucho,ve,04/29/18,5.66,-67.62,100,70.99,92,3.6
26,bima,id,04/29/18,-8.45,118.73,66,84.4,0,6.73
27,ribeira grande,pt,04/29/18,38.52,-28.7,71,55.4,20,8.05
28,norman wells,ca,04/29/18,65.28,-126.83,85,24.8,20,2.71
